path	outcome	solver_names	models	engines	relations	ms	detail
Career/CNBCU/Projects/6.0 Digital Enterprises/6.0.0 Administrative/6.0.0.2 Media Bank/6.0.0.2.3 Excel/Advertising Model.xlsx	ok	0	0			45	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.0.0 Administrative/6.0.0.4 DE Strategy/Awesomeness Projected Financials.xlsx	ok	0	0			45	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.0.0 Administrative/6.0.0.4 DE Strategy/Content Spend.xlsx	ok	0	0			1302	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.0.0 Administrative/6.0.0.4 DE Strategy/Strategy & Ops Monthly Update.xlsx	ok	0	0			49	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.0.0 Administrative/6.0.0.4 DE Strategy/Strategy & Ops Weekly Update.xlsx	ok	0	0			50	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.0.0 Administrative/6.0.0.4 DE Strategy/Tech Conference Schedule.xlsx	ok	0	0			60	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.1 LRP/17 Wins in 2017.xlsx	ok	0	0			43	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.1 LRP/6.1.1 QBR/Seeso Subs & Revenue.xlsx	ok	0	0			1378	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.1 LRP/6.1.2 Strategy/Discovery–SNI/Discovery Scripps – Traffic & Engagement .xlsx	ok	0	0			1322	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.0 Research/Art19/Art19 Pricing.xlsx	ok	0	0			1085	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.0 Research/Audio Business Models.xlsx	ok	0	0			1111	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.1 Musical.ly/Musically Assumptions.xlsx	ok	0	0			46	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.0 NBCU Data & Projections/Breakeven Analysis.xlsx	ok	0	0			1449	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.0 NBCU Data & Projections/Historical and Projected Financials.xlsx	ok	41	1	simplexLP	1,3,4	915	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.0 NBCU Data & Projections/Sports Rights Evaluation.xlsx	ok	0	0			1345	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.0 NBCU Data & Projections/TI Breakeven Analysis VQ.xlsx	ok	0	0			57	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.0 NBCU Data & Projections/Tune-In Opportunity.xlsx	ok	0	0			1442	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Financials – Historical/Administrative/2014-2018 Headcount.xlsx	ok	0	0			1414	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Financials – Historical/Content Debit Expense.xlsx	ok	0	0			19	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Financials – Historical/Historical COS and Content Detail.xlsx	ok	0	0			17	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Financials – Historical/Historical Financials.xlsx	ok	0	0			170	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Financials – Historical/Historical OpEx Detail.xlsx	ok	0	0			135	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Financials – Historical/Historical Revenue Detail (GAAP and Non-GAAP).xlsx	ok	0	0			145	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Financials – Historical/TuneIn Financials - Historical & Proj.xlsx	ok	0	0			3435	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Financials – Projected/Historical and Projected Opex Detail.xlsx	ok	0	0			1675	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Financials – Projected/TuneIn Financials - Historical & Proj.xlsx	ok	0	0			1188	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Premium Funnel/Churn Cohort Analysis (Annual and Monthly).xlsx	ok	0	0			41	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Premium Funnel/Churn Curve Analysis (Annual and Monthly).xlsx	ok	0	0			25	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Premium Funnel/Conversion-to-Paid Rate (Annual and Monthly).xlsx	ok	0	0			36	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Premium Funnel/Day 0 Opt-in Rate.xlsx	ok	0	0			27	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Premium Funnel/Opt-in Mix (Annual and Monthly).xlsx	ok	0	0			1186	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Premium Funnel/Subscribers and Churn.xlsx	ok	0	0			1804	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.1 Data & Projections/6.2.4.1.1 Management Data & Projections/Reach, DAU, and Listening/Reach.xlsx	ok	0	0			15	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.2 Presentations/6.2.4.2.0 Previous Versions/TuneIn Highlights.xlsx	ok	0	0			48	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.4 Model/Historical and Projected Financials-2.xlsx	ok	41	1	simplexLP	1,3,4	873	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.4 Model/Historical and Projected Financials.xlsx	ok	41	1	simplexLP	1,3,4	857	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.4 TuneIn/6.2.4.4 Model/Podcast Economics (Autosaved).xlsx	ok	0	0			1387	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Audio Strategy Deck.xlsx	ok	0	0			2195	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/Audio Market Size.xlsx	ok	0	0			1859	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/Audio Market SizeV2.xlsx	ok	0	0			2156	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/Audio Strategy Statistics.xlsx	ok	0	0			46	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/BravOxy P&L Wondery.xlsx	ok	0	0			45	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/MAU vs. Years.xlsx	ok	0	0			1562	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/Music Subscription Growth.xlsx	ok	0	0			1229	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/Podcast Economics.xlsx	ok	0	0			1555	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/Podcast Listening Statistics.xlsx	ok	0	0			48	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/Podcast Time.xlsx	ok	0	0			1297	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/Podcasting Economics – Cleaned.xlsx	ok	0	0			20	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/Share of Ear.xlsx	ok	0	0			1374	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/Top 100 Podcasters.xlsx	ok	0	0			51	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/Workbook1.xlsx	ok	0	0			45	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Data/demographics for audio.xlsx	ok	0	0			13	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.2 Audio/6.2.5 Strategy/Podcasting Economics.xlsx	ok	0	0			18	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.4 OTT/Peacock/TV.MetaData.forSEOandSharing.xlsx	ok	0	0			14	
Career/CNBCU/Projects/6.0 Digital Enterprises/6.7 Gaming/6.7.2 Data/Gaming Filter.xlsx	ok	0	0			45	
Career/CNBCU/Projects/Interview points.xlsx	ok	0	0			1430	
Career/Employment/Resource | Amazon | Star Framework Prep.xlsx	ok	0	0			10	
Career/GS/Briefcase/departure model 2014 Update.xlsx	ok	0	0			54	
Career/GS/Credit/USA Standard Model 08-08-01.xlsx	ok	0	0			1730	
Career/GS/GS – Sample/CMCSA Model 1.0.1.xlsx	ok	7	5	grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear		6048	
Career/GS/GS – Sample/CMCSA Model 2.0.0.xlsx	ok	6	3	grgNonlinear,grgNonlinear,grgNonlinear		2206	
Career/GS/stegsr.xlsx	ok	0	0			1837	
Career/Hotels at Home/1. Marketplace/Architecture/0. Overall/0.1 Myplanet/Myplanet Documents/CMS Requirements.xlsx	ok	0	0			154	
Career/Hotels at Home/1. Marketplace/Architecture/0. Overall/0.1 Myplanet/Myplanet Documents/Copy of HK Backlog - Ordered with Assumptions - Jan 2020.xlsx	ok	0	0			1563	
Career/Hotels at Home/1. Marketplace/Architecture/0. Overall/0.1 Myplanet/Myplanet Documents/Copy of House Key Stakeholder Interview Discussion Guides.xlsx	ok	0	0			508	
Career/Hotels at Home/1. Marketplace/Architecture/0. Overall/Bellamore Roadmap.xlsx	ok	0	0			60	
Career/Hotels at Home/1. Marketplace/Architecture/0. Overall/Business and Functional Requirements.xlsx	ok	0	0			82	
Career/Hotels at Home/1. Marketplace/Architecture/0. Overall/Functional Split.xlsx	ok	0	0			1333	
Career/Hotels at Home/1. Marketplace/Architecture/0. Overall/Hotels @ Home Platform Projections - Volume & GTM.xlsx	ok	0	0			1331	
Career/Hotels at Home/1. Marketplace/Architecture/0. Overall/Required Information.xlsx	ok	0	0			62	
Career/Hotels at Home/1. Marketplace/Architecture/API Requirements/API Requirements.xlsx	ok	0	0			55	
Career/Hotels at Home/1. Marketplace/Architecture/API Requirements/Marketplace Notes.xlsx	ok	0	0			1846	
Career/Hotels at Home/1. Marketplace/Architecture/API Requirements/Marketplace-Requirements.xlsx	ok	0	0			1305	
Career/Hotels at Home/1. Marketplace/Architecture/Bellamore Marketplace.xlsx	ok	0	0			22	
Career/Hotels at Home/1. Marketplace/Architecture/CMS/CMS Requirements.xlsx	ok	0	0			161	
Career/Hotels at Home/1. Marketplace/Architecture/CMS/Contentful/Potential Implementation Partners.xlsx	ok	0	0			56	
Career/Hotels at Home/1. Marketplace/Architecture/Customer Data Platform/CDP Requirements.xlsx	ok	0	0			55	
Career/Hotels at Home/1. Marketplace/Architecture/Design/Required Browsers/Analytics SOF-ALL Live Browser & OS 20210101-20210805.xlsx	ok	0	0			7	
Career/Hotels at Home/1. Marketplace/Architecture/Design/Required Browsers/Analytics SOF-ALL Live Browser Version & OS 20210101-20210805.xlsx	ok	0	0			1681	
Career/Hotels at Home/1. Marketplace/Architecture/Design/Required Browsers/browser_version-ww-monthly-202007-202107.xlsx	ok	0	0			24	
Career/Hotels at Home/1. Marketplace/Architecture/ERP/Requirements/NetSuite Tasks.xlsx	ok	0	0			56	
Career/Hotels at Home/1. Marketplace/Architecture/ERP/Requirements/NetSuite_Requirements_Documents_041818_Revised 12-03-18.xlsx	ok	0	0			76	
Career/Hotels at Home/1. Marketplace/Architecture/Payments/0. HaH Data/2020 Transaction Summary.xlsx	ok	0	0			54	
Career/Hotels at Home/1. Marketplace/Architecture/Payments/0. HaH Data/CC Transactions by Type.xlsx	ok	0	0			3715	
Career/Hotels at Home/1. Marketplace/Architecture/Payments/Checkout Comparison.xlsx	ok	0	0			131	
Career/Hotels at Home/1. Marketplace/Architecture/Payments/Payments Processing Model.xlsx	ok	0	0			59	
Career/Hotels at Home/1. Marketplace/Architecture/Payments/Processing fees analysis.xlsx	ok	0	0			1271	
Career/Hotels at Home/1. Marketplace/Architecture/Pricing/Tech Stack Pricing Model.xlsx	ok	0	0			1259	
Career/Hotels at Home/1. Marketplace/Architecture/SEO/On-page SEO Checklist - for PHK.xlsx	ok	0	0			1287	
Career/Hotels at Home/1. Marketplace/Architecture/SEO/SEO Considerations/Companion - SwG SEO Tech Audit - Apr19.xlsx	ok	0	0			1822	
Career/Hotels at Home/1. Marketplace/Architecture/Subscriptions/Subscriptions Ticket Maker.xlsx	ok	0	0			1410	
Career/Hotels at Home/1. Marketplace/Architecture/Tax/Hotels at Home Project Plan.xlsx	ok	0	0			11	
Career/Hotels at Home/1. Marketplace/Architecture/eCommerce/0. Requirements/Marketplace-Requirements.xlsx	ok	0	0			2	
Career/Hotels at Home/1. Marketplace/Architecture/eCommerce/14. Unirgy/Bellamore Marketplace.xlsx	ok	0	0			20	
Career/Hotels at Home/1. Marketplace/Architecture/eCommerce/14. Unirgy/Invoice Check.xlsx	ok	0	0			1335	
Career/Hotels at Home/1. Marketplace/Architecture/eCommerce/14. Unirgy/Sample Order Set.xlsx	ok	0	0			1043	
Career/Hotels at Home/1. Marketplace/Architecture/eCommerce/Orient Express Retail Vendor Product Details.xlsx	ok	0	0			1397	
Career/Hotels at Home/1. Marketplace/Architecture/eCommerce/Orient-Express-Supplier-Questionnaire.xlsx	ok	0	0			1227	
Career/Hotels at Home/1. Marketplace/Architecture/eCommerce/Potentials .xlsx	ok	0	0			66	
Career/Hotels at Home/1. Marketplace/Presentations/Content Ideas/Content Samples/BetterHosting_Content Outline.xlsx	ok	0	0			1351	
Career/Hotels at Home/3. HaH EU/EU Components/Component List.xlsx	ok	0	0			1134	
Career/Hotels at Home/3. HaH EU/EU Components/EU Components.xlsx	ok	0	0			56	
Career/Hotels at Home/3. HaH EU/Empeek Situation.xlsx	ok	0	0			56	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Hotel Selector/Hotel Selector JSON Creator.xlsx	ok	0	0			125	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Hotel Selector/MI - Hotel Selector/CYM_hotelslist_CSV.xlsx	ok	0	0			103	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Hotel Selector/MI - Hotel Selector/EDT_hotelslist_CSV.xlsx	ok	0	0			3	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Hotel Selector/MI - Hotel Selector/HB_hotelslist_CSV.xlsx	ok	0	0			1328	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Hotel Selector/MI - Hotel Selector/LUX_hotelslist_CSV.xlsx	ok	0	0			13	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Hotel Selector/MI - Hotel Selector/RHR_hotelslist_CSV.xlsx	ok	0	0			17	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Hotel Selector/MI - Hotel Selector/SH_hotelslist_CSV.xlsx	ok	0	0			48	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Hotel Selector/MI - Hotel Selector/STR_hotelslist_CSV.xlsx	ok	0	0			1551	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Hotel Selector/MI - Hotel Selector/WHO_hotelslist_CSV.xlsx	ok	0	0			1395	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Product/Attributes.xlsx	ok	0	0			197	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Upload Tests/Attributes/Attributes.xlsx	ok	0	0			1993	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Upload Tests/Attributes/attributetest1.xlsx	ok	0	0			78	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Upload Tests/Templates and Directions/Documentation - Import Product-2.xlsx	ok	0	0			26	
Career/Hotels at Home/3. HaH EU/HAH EU Issues/Upload Tests/Templates and Directions/Template - Import Product-2.xlsx	ok	0	0			18	
Career/Hotels at Home/3. HaH EU/HaH EU Documentation/Product Import/Attributes.xlsx	ok	0	0			183	
Career/Hotels at Home/3. HaH EU/HaH EU Documentation/Product Import/Avalara_Items_Import_Template_RHREU.xlsx	ok	0	0			7	
Career/Hotels at Home/3. HaH EU/HaH EU Documentation/Product Import/Documentation - Import Product.xlsx	ok	0	0			1639	
Career/Hotels at Home/3. HaH EU/HaH EU Documentation/Product Import/ImportItemsHelp-CrossBorder-45da7e7fd1f21af8d70b7569d3dcddf6.xlsx	ok	0	0			1366	
Career/Hotels at Home/3. HaH EU/HaH EU Documentation/Product Import/Template - Import Product.xlsx	ok	0	0			1520	
Career/Hotels at Home/3. HaH EU/HotelsAtHome - EU Project.xlsx	ok	0	0			1525	
Career/Hotels at Home/3. HaH EU/Infrastructure/Project Status Report (Hotels at Home).xlsx	ok	0	0			7	
Career/Hotels at Home/3. HaH EU/Product Catalog.xlsx	ok	0	0			3923	
Career/Hotels at Home/3. HaH EU/Product Files/CSV/Configurable Products – Images june7.xlsx	ok	0	0			72	
Career/Hotels at Home/3. HaH EU/Product Files/CSV/Configurable Products – Images.xlsx	ok	0	0			1593	
Career/Hotels at Home/3. HaH EU/Product Files/CSV/Kit Products – Images.xlsx	ok	0	0			1939	
Career/Hotels at Home/3. HaH EU/Product Files/CSV/Kits.xlsx	ok	0	0			343	
Career/Hotels at Home/3. HaH EU/Product Files/CSV/Simple Products - Images.xlsx	ok	0	0			42	
Career/Hotels at Home/3. HaH EU/Product Files/CSV/images aligned.xlsx	ok	0	0			1568	
Career/Hotels at Home/3. HaH EU/Product Files/CSV/updated_attributes.xlsx	ok	0	0			12	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_Configurable_Products.xlsx	ok	0	0			85	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_DE/CYMEU_import_grouped_DE.xlsx	ok	0	0			4	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_DE/CYMEU_import_kit_configurable_DE.xlsx	ok	0	0			5	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_DE/CYMEU_import_simples_cat_search_DE.xlsx	ok	0	0			1285	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_DE/CYMEU_import_simples_not_visible_DE.xlsx	ok	0	0			15	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_EN/CYMEU_import_grouped_EN.xlsx	ok	0	0			10	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_EN/CYMEU_import_kit_configurable_EN.xlsx	ok	0	0			1351	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_EN/CYMEU_import_related_skus.xlsx	ok	0	0			1239	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_EN/CYMEU_import_simples_cat_search_EN.xlsx	ok	0	0			1378	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_EN/CYMEU_import_simples_not_visible_EN.xlsx	ok	0	0			25	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_ES/CYMEU_import_grouped_ES.xlsx	ok	0	0			14	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_ES/CYMEU_import_kit_configurable_ES.xlsx	ok	0	0			7	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_ES/CYMEU_import_simples_cat_search_ES.xlsx	ok	0	0			1296	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_ES/CYMEU_import_simples_not_visible_ES.xlsx	ok	0	0			14	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_FR/CYMEU_import_grouped_FR.xlsx	ok	0	0			1627	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_FR/CYMEU_import_kit_configurable_FR.xlsx	ok	0	0			1414	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_FR/CYMEU_import_simples_cat_search_FR.xlsx	ok	0	0			1240	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_FR/CYMEU_import_simples_not_visible_FR.xlsx	ok	0	0			1307	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_Upsell_String.xlsx	ok	0	0			1786	
Career/Hotels at Home/3. HaH EU/Product Files/CYMEU/CYMEU_kits.xlsx	ok	0	0			392	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_DE/EDTEU_import_grouped_DE.xlsx	ok	0	0			4	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_DE/EDTEU_import_kit_configurable_DE.xlsx	ok	0	0			1508	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_DE/EDTEU_import_simples_cat_search_DE.xlsx	ok	0	0			1428	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_DE/EDTEU_import_simples_not_visible_DE.xlsx	ok	0	0			1576	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_EN/EDTEU_import_grouped_EN.xlsx	ok	0	0			10	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_EN/EDTEU_import_kit_configurable_EN.xlsx	ok	0	0			1412	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_EN/EDTEU_import_related_skus.xlsx	ok	0	0			1368	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_EN/EDTEU_import_simples_cat_search_EN.xlsx	ok	0	0			15	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_EN/EDTEU_import_simples_not_visible_EN.xlsx	ok	0	0			1316	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_ES/EDTEU_import_grouped_ES.xlsx	ok	0	0			4	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_ES/EDTEU_import_kit_configurable_ES.xlsx	ok	0	0			1767	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_ES/EDTEU_import_simples_cat_search_ES.xlsx	ok	0	0			1414	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_ES/EDTEU_import_simples_not_visible_ES.xlsx	ok	0	0			6695	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_FR/EDTEU_import_grouped_FR.xlsx	ok	0	0			7	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_FR/EDTEU_import_kit_configurable_FR.xlsx	ok	0	0			1401	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_FR/EDTEU_import_simples_cat_search_FR.xlsx	ok	0	0			1535	
Career/Hotels at Home/3. HaH EU/Product Files/EDTEU/EDTEU_FR/EDTEU_import_simples_not_visible_FR.xlsx	ok	0	0			2004	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_DE/HBEU_import_grouped_DE.xlsx	ok	0	0			4	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_DE/HBEU_import_kit_configurable_DE.xlsx	ok	0	0			8	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_DE/HBEU_import_simples_cat_search_DE.xlsx	ok	0	0			7	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_DE/HBEU_import_simples_not_visible_DE.xlsx	ok	0	0			8	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_EN/HBEU_import_grouped_EN.xlsx	ok	0	0			1547	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_EN/HBEU_import_kit_configurable_EN.xlsx	ok	0	0			18	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_EN/HBEU_import_related_skus.xlsx	ok	0	0			1442	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_EN/HBEU_import_simples_cat_search_EN.xlsx	ok	0	0			17	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_EN/HBEU_import_simples_not_visible_EN.xlsx	ok	0	0			19	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_ES/HBEU_import_grouped_ES.xlsx	ok	0	0			4	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_ES/HBEU_import_kit_configurable_ES.xlsx	ok	0	0			8	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_ES/HBEU_import_simples_cat_search_ES.xlsx	ok	0	0			6	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_ES/HBEU_import_simples_not_visible_ES.xlsx	ok	0	0			1718	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_FR/HBEU_import_cat_search_FR.xlsx	ok	0	0			10	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_FR/HBEU_import_grouped_FR.xlsx	ok	0	0			1201	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_FR/HBEU_import_kit_configurable_FR.xlsx	ok	0	0			11	
Career/Hotels at Home/3. HaH EU/Product Files/HBEU/HBEU_FR/HBEU_import_simples_not_visible_FR.xlsx	ok	0	0			1517	
Career/Hotels at Home/3. HaH EU/Product Files/IBIEU/IBIEU_DE/IBIEU_import_complet_DE.xlsx	ok	0	0			1474	
Career/Hotels at Home/3. HaH EU/Product Files/IBIEU/IBIEU_EN/IBIEU_import_complet_EN.xlsx	ok	0	0			1288	
Career/Hotels at Home/3. HaH EU/Product Files/IBIEU/IBIEU_ES/IBIEU_import_complet_ES.xlsx	ok	0	0			1396	
Career/Hotels at Home/3. HaH EU/Product Files/IBIEU/IBIEU_FR/IBIEU_import_FR.xlsx	ok	0	0			18	
Career/Hotels at Home/3. HaH EU/Product Files/IBIEU/IBIEU_FR/IBIEU_import_simples_not_visible_FR.xlsx	ok	0	0			1274	
Career/Hotels at Home/3. HaH EU/Product Files/IBIEU/M1 IMPORTS/Import_ES/IBIEU_import_ES.xlsx	ok	0	0			1384	
Career/Hotels at Home/3. HaH EU/Product Files/KEM/Contenu/ES_DE/Batch-01-Category.xlsx	ok	0	0			1344	
